anualidad,sem,pmp
2021,21,0.44
2021,20,0.42
2021,19,0.42
2021,18,0.42
2021,17,0.47
2021,16,0.5
2021,15,0.52
2021,14,0.54
2021,13,0.54
2021,12,0.43
2021,11,0.43
2021,10,0.41
2021,09,0.41
2021,08,0.42
2021,07,0.42
2021,06,0.45
2021,05,0.5
2021,04,0.51
2021,03,0.51
2021,02,0.48
2021,01,0.46
2020,53,0.4
2020,52,0.4
2020,51,0.38
2020,50,0.39
2020,49,0.42
2020,48,0.44
2020,47,0.59
2020,46,0.77
2020,45,0.9
2020,44,0.99
2020,43,0.99
2020,42,0.98
2020,41,0.99
2020,40,0.95
2020,39,0.89
2020,38,0.79
2020,37,0.75
2020,36,0.66
2020,35,0.6
2020,34,0.6
2020,33,0.59
2020,32,0.6
2020,31,0.58
2020,30,0.58
2020,29,0.52
2020,28,0.47
2020,27,0.39
2020,26,0.37
2020,25,0.37
2020,24,0.37
2020,23,0.38
2020,22,0.38
2020,21,0.37
2020,20,0.39
2020,19,0.37
2020,18,0.38
2020,17,0.39
2020,16,0.38
2020,15,0.38
2020,14,0.35
2020,13,0.33
2020,12,0.33
2020,11,0.31
2020,10,0.3
2020,09,0.3
2020,08,0.32
2020,07,0.31
2020,06,0.33
2020,05,0.33
2020,04,0.34
2020,03,0.39
2020,02,0.42
2020,01,0.47
2019,52,0.49
2019,51,0.49
2019,50,0.59
2019,49,0.73
2019,48,0.9
2019,47,1.05
2019,46,1.06
2019,45,1.07
2019,44,1.08
2019,43,1.07
2019,42,1.03
2019,41,0.99
2019,40,0.91
2019,39,0.83
2019,38,0.74
2019,37,0.65
2019,36,0.5
2019,35,0.39
2019,34,0.34
2019,33,0.31
2019,32,0.3
2019,31,0.28
2019,30,0.29
2019,29,0.29
2019,28,0.29
2019,27,0.31
2019,26,0.31
2019,25,0.32
2019,24,0.33
2019,23,0.33
2019,22,0.34
2019,21,0.34
2019,20,0.37
2019,19,0.38
2019,18,0.37
2019,17,0.38
2019,16,0.38
2019,15,0.37
2019,14,0.38
2019,13,0.4
2019,12,0.44
2019,11,0.5
2019,10,0.59
2019,09,0.69
2019,08,0.73
2019,07,0.72
2019,06,0.72
2019,05,0.73
2019,04,0.73
2019,03,0.74
2019,02,0.75
2019,01,0.75
2018,52,0.73
2018,51,0.73
2018,50,0.74
2018,49,0.72
2018,48,0.68
2018,47,0.68
2018,46,0.66
2018,45,0.65
2018,44,0.65
2018,43,0.68
2018,42,0.73
2018,41,0.75
2018,40,0.77
2018,39,0.84
2018,38,0.83
2018,37,0.83
2018,36,0.84
2018,35,0.85
2018,34,0.84
2018,33,0.83
2018,32,0.82
2018,31,0.8
2018,30,0.81
2018,29,0.82
2018,28,0.82
2018,27,0.83
2018,26,0.82
2018,25,0.83
2018,24,0.84
2018,23,0.84
2018,22,0.79
2018,21,0.74
2018,20,0.74
2018,19,0.7
2018,18,0.69
2018,17,0.6
2018,16,0.6
2018,15,0.55
2018,14,0.53
2018,13,0.48
2018,12,0.47
2018,11,0.47
2018,10,0.49
2018,09,0.49
2018,08,0.42
2018,07,0.39
2018,06,0.35
2018,05,0.34
2018,04,0.34
2018,03,0.32
2018,02,0.33
2018,01,0.33
2017,52,0.33
2017,51,0.32
2017,50,0.34
2017,49,0.35
2017,48,0.34
2017,47,0.37
2017,46,0.4
2017,45,0.53
2017,44,0.64
2017,43,0.71
2017,42,0.71
2017,41,0.71
2017,40,0.68
2017,39,0.62
2017,38,0.53
2017,37,0.44
2017,36,0.36
2017,35,0.36
2017,34,0.35
2017,33,0.35
2017,32,0.35
2017,31,0.34
2017,30,0.3
2017,29,0.28
2017,28,0.27
2017,27,0.28
2017,26,0.28
2017,25,0.3
2017,24,0.31
2017,23,0.33
2017,22,0.33
2017,21,0.35
2017,20,0.35
2017,19,0.39
2017,18,0.39
2017,17,0.41
2017,16,0.41
2017,15,0.41
2017,14,0.38
2017,13,0.4
2017,12,0.47
2017,11,0.52
2017,10,0.56
2017,09,0.6
2017,08,0.6
2017,07,0.6
2017,06,0.6
2017,05,0.61
2017,04,0.61
2017,03,0.61
2017,02,0.6
2017,01,0.57
2016,52,0.47
2016,51,0.46
2016,50,0.46
2016,49,0.46
2016,48,0.45
2016,47,0.51
2016,46,0.56
2016,45,0.57
2016,44,0.58
2016,43,0.58
2016,42,0.57
2016,41,0.48
2016,40,0.4
2016,39,0.39
2016,38,0.4
2016,37,0.37
2016,36,0.36
2016,35,0.35
2016,34,0.34
2016,33,0.33
2016,32,0.33
2016,31,0.34
2016,30,0.34
2016,29,0.33
2016,28,0.33
2016,27,0.32
2016,26,0.34
2016,25,0.33
2016,24,0.35
2016,23,0.34
2016,22,0.34
2016,21,0.31
2016,20,0.31
2016,19,0.31
2016,18,0.31
2016,17,0.34
2016,16,0.32
2016,15,0.32
2016,14,0.33
2016,13,0.33
2016,12,0.35
2016,11,0.32
2016,10,0.33
2016,09,0.34
2016,08,0.35
2016,07,0.35
2016,06,0.36
2016,05,0.36
2016,04,0.35
2016,03,0.36
2016,02,0.36
2016,01,0.35
