fecha,pmp
2021-05-01,0.42
2021-04-01,0.51
2021-03-01,0.42
2021-02-01,0.45
2021-01-01,0.49
2020-12-01,0.4
2020-11-01,0.67
2020-10-01,0.98
2020-09-01,0.78
2020-08-01,0.6
2020-07-01,0.51
2020-06-01,0.37
2020-05-01,0.38
2020-04-01,0.38
2020-03-01,0.32
2020-02-01,0.31
2020-01-01,0.38
2019-12-01,0.58
2019-11-01,1.02
2019-10-01,1.02
2019-09-01,0.68
2019-08-01,0.33
2019-07-01,0.3
2019-06-01,0.32
2019-05-01,0.36
2019-04-01,0.38
2019-03-01,0.49
2019-02-01,0.72
2019-01-01,0.74
2018-12-01,0.73
2018-11-01,0.67
2018-10-01,0.73
2018-09-01,0.83
2018-08-01,0.83
2018-07-01,0.82
2018-06-01,0.83
2018-05-01,0.73
2018-04-01,0.57
2018-03-01,0.48
2018-02-01,0.37
2018-01-01,0.33
2017-12-01,0.33
2017-11-01,0.46
2017-10-01,0.7
2017-09-01,0.49
2017-08-01,0.35
2017-07-01,0.28
2017-06-01,0.31
2017-05-01,0.37
2017-04-01,0.4
2017-03-01,0.5
2017-02-01,0.6
2017-01-01,0.6
2016-12-01,0.46
2016-11-01,0.56
2016-10-01,0.51
2016-09-01,0.38
2016-08-01,0.34
2016-07-01,0.33
2016-06-01,0.34
2016-05-01,0.31
2016-04-01,0.33
2016-03-01,0.33
2016-02-01,0.35
2016-01-01,0.36
